OBEC;PSC
Kvakovce;09402
Kvačany;03223
Kvačany;08241
Kvašov;02062
Kvetoslavov;93041
Kyjatice;98054
Kyjov;06548
Kynceľová;97401
Kysak;04481
Kyselica;93030
Kysta;07602
Kysucké Nové Mesto;02332
Kysucké Nové Mesto;02336
Kysucké Nové Mesto;02401
Kysucké Nové Mesto;02404
Kysucký Lieskovec;02334
Kálnica;91637
Kátlovce;91955
Kátov;90849
Kútniky;92901
Kúty;90801
Kľak;96677
Kľačany;92064
Kľače;01319
Kľačno;97215
Kľušov;08622
Kľúčovec;93007
Kšinná;95641
Lackov;96244
Lackovce;06601
Lacková;06501
Lada;08212
Ladce;01863
Ladice;95177
Ladmovce;07634
Ladomerská Vieska;96501
Ladomirov;06771
Ladomirová;09003
Ladzany;96265
Lakšárska Nová Ves;90876
Lascov;08645
Laskár;03843
Lastomír;07237
Lastovce;07614
Lazany;97211
Lazisko;03211
Lazy pod Makytou;02055
Laškovce;07201
Lažany;08232
Lechnica;05906
Lednica;02063
Lednické Rovne;02061
Legnava;06546
Lehnice;93036
Lehnice;93037
Lehota;95136
Lehota nad Rimavicou;98053
Lehota pod Vtáčnikom;97242
Lehôtka;98511
Lehôtka pod Brehmi;96601
Lekárovce;07254
Leles;07684
Lemešany;08203
Lenartov;08606
Lenartovce;98044
Lendak;05907
Lenka;98050
Lentvora;98513
Leopoldov;92041
Lesenice;99108
Lesnica;06533
Lesné;07101
Lesíček;08207
Letanovce;05313
Letničie;90844
Levice;93401
Levice;93405
Levice;93551
Levkuška;98262
Levoča;05401
Leváre;98262
Leľa;94365
Leštiny;02601
Lešť (vojenský obvod);96263
Lešť (vojenský obvod);99201
Ležiachov;03842
Libichava;95638
Licince;04914
Liesek;02712
Lieskovany;05321
Lieskovec;06745
Lieskovec;96001
Lieskovec;96221
Lietava;01318
Lietavská Lúčka;01311
Lietavská Svinná-Babkov;01311
Liešno;03822
Liešťany;97227
Likavka;03401
Likavka;03495
Limbach;90091
Lipany;08271
Lipník;97232
Lipníky;08212
Lipovany;98531
Lipovce;08236
Lipovec;03861
Lipovec;98023
Lipovník;04942
Lipovník;95601
Lipová;08612
Lipová;94102
Lipové;94614
Liptovská Anna;03223
Liptovská Kokava;03244
Liptovská Lúžna;03472
Liptovská Osada;03473
Liptovská Porúbka;03301
Liptovská Sielnica;03223
Liptovská Teplička;05940
Liptovská Teplá;03483
Liptovská Štiavnica;03401
Liptovské Beharovce;03221
Liptovské Kľačany;03214
Liptovské Matiašovce;03223
Liptovské Revúce;03474
Liptovské Sliače;03484
Liptovský Hrádok;03301
Liptovský Ján;03203
Liptovský Michal;03483
Liptovský Mikuláš;03101
Liptovský Mikuláš;03104
Liptovský Mikuláš;03105
Liptovský Ondrej;03204
Liptovský Peter;03301
Liptovský Trnovec;03101
Lisková;03481
Litava;96244
Litmanová;06531
Livina;95632
Livinské Opatovce;95632
Livov;08605
Livovská Huta;08605
Ličartovce;08203
Lišov;96271
Lodno;02334
Lok;93538
Lokca;02951
Lom nad Rimavicou;97653
Lomnička;06503
Lomná;02954
Lomné;09033
Lontov;93575
Lopašov;90863
Lopušné Pažite;02336
Lopúchov;08641
Lovce;95192
Lovinobaňa;98554
Lovča;96621
Lovčica-Trubín;96623
Lozorno;90055
Lošonec;91904
Ložín;07205
Lubeník;04918
Lubina;91612
Ludanice;95611
Ludrová;03471
Luhyňa;07614
Lukavica;08621
Lukavica;96231
Lukačovce;06724
Lukov;08605
Lukovištia;98026
Lukáčovce;95123
Lula;93535
Lupoč;98511
Lutila;96622
Lutiše;01305
Lučatín;97661
Lučenec;97646
Lučenec;98401
Lučenec;98403
Lučivná;05921
Lučivná;05931
Lužany;95607
Lužany pri Topli;08701
Lužianky;94901
Lužianky;95141
Lysica;01305
Lysá pod Makytou;02054
Láb;90067
Látky;98545
Lúka;91633
Lúky;02053
Lúč na Ostrove;93003
Lúčina;08207
Lúčka;04942
Lúčka;05303
Lúčka;08271
Lúčka;08701
Lúčky;03482
Lúčky;07234
Lúčky;96701
Lúčnica nad Žitavou;95188
Machulince;95193
Macov;93032
Mad;93014
Madunice;92242
Magnezitovce;04916
Majcichov;91922
Majere;06101
Majerovce;09409
Makov;02356
Makovce;09023
Malachov;97405
Malacky;90101
Malatiná;02601
Malatíny;03215
Malcov;08606
Malinovo;90045
Malinová;97213
Malužiná;03234
Malá Domaša;09402
Malá Franková;05978
Malá Hradná;95654
Malá Ida;04420
Malá Lehota;96642
Malá Lodina;04481
Malá Mača;92521
Malá Poľana;09024
Malá Tŕňa;07682
Malá nad Hronom;94365
Malá Čalomija;99108
Malá Čausa;97101
Malá Čierna;01501
Malé Borové;02732
Malé Chyndice;95154
Malé Dvorníky;92901
Malé Hoste;95637
Malé Kosihy;94361
Malé Kozmálovce;93521
Malé Kršteňany;95803
Malé Lednice;01816
Malé Leváre;90874
Malé Ludince;93701
Malé Ozorovce;07801
Malé Raškovce;07217
Malé Ripňany;95607
Malé Straciny;99001
Malé Trakany;07642
Malé Uherce;95803
Malé Vozokany;95182
Malé Zlievce;99122
Malé Zálužie;95124
Malý Cetín;95107
Malý Horeš;07652
Malý Kamenec;07636
Malý Krtíš;99001
Malý Lapáš;95104
Malý Lipník;06546
Malý Slavkov;06001
Malý Slivník;08267
Malý Čepčín;03845
Malý Šariš;08001
Malčice;07206
Malženice;91929
Mankovce;95191
Marcelová;94632
Margecany;05501
Marhaň;08645
Marianka;90033
Markovce;07206
Markuška;04934
Markušovce;05321
Martin;03601
Martin;03861
Martin nad Žitavou;95301
Martinová;98041
Martinček;03495
Martovce;94701
Maršová-Rašov;01351
Matejovce nad Hornádom;05321
Matiaška;09431
Matiašovce;05904
Matovce;09042
Matysová;06546
Matúškovo;92501
Maňa;94145
Maškovce;06732
Mašková;98511
Maťovské Vojkovce;07901
Medovarce;96265
Medvedie;09005
Medveďov;93007
Medzany;08221
Medzev;04425
Medzianky;09431
Medzibrod;97696
Medzibrodie nad Oravou;02601
Medzilaborce;06801
Melek;95201
Meliata;04912
Melčice-Lieskové;91305
Mengusovce;05936
Merašice;92061
Merník;09423
Mestečko;02052
Mestisko;09041
Michajlov;06773
Michal na Ostrove;93035
Michal nad Žitavou;94162
Michalková;96261
Michalok;09423
Michalovce;07101
Michalová;97657
Michaľany;07614
Mierovo;93041
Miezgovce;95701
Miklušovce;08244
Miková;09024
Mikulášová;08636
Mikušovce;01857
Mikušovce;98401
Milhosť;04458
Miloslavov;90042
Milpoš;08271
Mirkovce;08206
Miroľa;09005
Mičakovce;08701
Miňovce;09032
Mlynica;05991
Mlynky;05376
Mlynárovce;09016
Mlynčeky;05976
Mládzovo;98502
Mníchova Lehota;91321
Mníšek nad Hnilcom;05564
Mníšek nad Popradom;06522
Modra;82102
Modra;90001
Modra nad Cirochou;06782
Modrany;94633
Modrovka;91635
Modrová;91635
Modrý Kameň;99201
Mojmírovce;95115
Mojtín;02072
Mojzesovo;94104
Mojš;01001
Mokrance;04501
Mokroluh;08601
Mokrá Lúka;05001
Mokrý Háj;90865
Moldava nad Bodvou;04501
Moravany;07203
Moravany nad Váhom;92221
Moravské Lieskové;91642
Moravský Svätý Ján;90871
Most pri Bratislave;90046
Mostová;92507
Motešice;91326
Motyčky;97602
Moča;94637
Močenok;95131
Močiar;96982
Moškovec;03844
Mošovce;03821
Moštenica;97613
Mošurov;08267
Mrázovce;09034
Mudrovce;04447
Mudroňovo;94632
Muránska Dlhá Lúka;05001
Muránska Huta;04901
Muránska Lehota;04901
Muránska Zdychava;05001
Muráň;04901
Mučín;98531
Muľa;99122
Mužla;94352
Myjava;90701
Myjava;90703
Myslina;06601
Málaš;93541
Málaš;93567
Málinec;98526
Môlča;97401
Mútne;02963
Mýtna;98553
Mýtne Ludany;93556
Mýto pod Ďumbierom;97644
Nacina Ves;07101
Nacina Ves;07221
Nadlice;95632
Naháč;91965
Nandraž;04961
Nechválova Polianka;06733
Necpaly;03812
Nedanovce;95843
Nedašovce;95635
Neded;92585
Nededza;01302
Nedožery-Brezany;97212
Nemce;97401
Nemcovce;08212
Nemcovce;08612
Nemecká;97697
Nemečky;95622
Nemešany;05302
Nemčice;95501
Nemčiňany;95181
Nemšová;91441
Nenince;99126
Neporadza;91326
Neporadza;98045
Nesluša;02341
Nesvady;94651
Neverice;95172
Nevidzany;95162
Nevidzany;97227
Nevoľné;96701
Nezbudská Lúčka;01324
Nimnica;02071
Nitra;94901
Nitra;94905
Nitra;94907
Nitra;94911
Nitra;95141
Nitra nad Ipľom;98557
Nitrianska Blatnica;95605
Nitrianska Streda;95616
Nitrianske Hrnčiarovce;94901
Nitrianske Hrnčiarovce;95101
Nitrianske Pravno;97213
Nitrianske Rudno;97226
Nitrianske Sučany;97221
Nitrica;97222
Nižná;02743
Nižná;92206
Nižná Boca;03234
Nižná Hutka;04018
Nižná Jablonka;06734
Nižná Jedľová;08901
Nižná Kamenica;04445
Nižná Myšľa;04415
Nižná Olšava;09032
Nižná Pisaná;09001
Nižná Polianka;08636
Nižná Rybnica;07301
Nižná Sitnica;09407
Nižná Slaná;04923
Nižná Voľa;08621
Nižné Ladičkovce;06711
Nižné Nemecké;07252
Nižné Repaše;05371
Nižné Ružbachy;06502
Nižný Hrabovec;09421
Nižný Hrušov;09422
Nižný Klátov;04412
Nižný Komárnik;09005
Nižný Kručov;09301
Nižný Lánec;04473
Nižný Mirošov;09011
Nižný Orlík;09011
Nižný Skálnik;98052
Nižný Slavkov;08275
Nižný Tvarožec;08602
Nižný Čaj;04416
Nižný Žipov;07617
Nolčovo;03854
Norovce;95638
Novosad;07602
Novoť;02955
Novoť;02963
Nová Baňa;96801
Nová Bašta;98034
Nová Bošáca;91308
Nová Bystrica;02305
Nová Dedina;93401
Nová Dedina;93525
Nová Dedinka;82102
Nová Dedinka;90029
Nová Dubnica;01851
Nová Kelča;09404
Nová Lehota;91635
Nová Lesná;05986
Nová Polhora;04444
Nová Polianka;08901
Nová Sedlica;06768
Nová Ves;99105
Nová Ves nad Váhom;91631
Nová Ves nad Žitavou;95151
Nová Vieska;94342
Nová Ľubovňa;06511
Nováky;97271
Nováčany;04421
Nové Hony;98542
Nové Mesto nad Váhom;91501
Nové Sady;95124
Nové Zámky;94002
Nový Ruskov;07501
Nový Salaš;04417
Nový Svet;90301
Nový Tekov;93533
Nový Život;93038
Nálepkovo;05333
Námestovo;02901
Námestovo;02943
Nána;94301
Nána;94360
Nýrovce;93567
Obeckov;99105
Obid;94304
Obišovce;04481
Oborín;07675
Obručné;06542
Obyce;95195
Ochodnica;02335
Ochtiná;04935
Odorín;05322
Ohrady;93012
Ohrady;93021
Ohradzany;06722
Okoličná na Ostrove;94613
Okoč;93010
Okoč;93028
Okružná;08212
Okrúhle;09042
Olcnava;05361
Olejníkov;08257
Olešná;02352
Olešná;02357
Olováry;99122
Olšovany;04419
Omastiná;95641
Omšenie;91443
Ondavka;08636
Ondavské Matiašovce;09401
Ondrašovce;08233
Ondrašová;03822
Ondrejovce;93551
Opatovce;91311
Opatovce nad Nitrou;97202
Opatovská Nová Ves;99107
Opava;99125
Opiná;04447
Opoj;91932
Oponice;95614
Opátka;04465
Oravce;97633
Oravská Jasenica;02964
Oravská Lesná;02957
Oravská Polhora;02947
Oravská Poruba;02754
Oravské Veselé;02962
Oravský Biely Potok;02742
Oravský Podzámok;02741
Ordzovany;05306
Orechová;07251
Orechová Potôň;93002
Orechová Potôň;93052
Oreské;07223
Oreské;90863
Orešany;95606
Orlov;06543
Orovnica;96652
Ortuťová;08612
Orávka;98042
Osadné;06734
Osikov;08642
Oslany;97247
Osrblie;97645
Ostratice;95634
Ostrov;07255
Ostrov;92201
Ostrovany;08222
Ostrá Lúka;96261
Ostrý Grúň;96677
Osturňa;05979
Osuské;90612
Osádka;02601
Otrhánky;95655
Otročok;98262
Ovčiarsko;01004
Ovčie;08238
Ozdín;98524
Očkov;91622
Očová;96212
Očová;96223
Očová;98401
Oľdza;93039
Oľka;06704
Oľšavce;08646
Oľšavica;05373
Oľšavka;05361
Oľšavka;09022
Oľšinkov;06716
Oľšov;08276
Oščadnica;02301
Ožďany;97901
Ožďany;98011
Padarovce;98023
Padáň;92901
Pakostov;09407
Palota;06801
Palárikovo;94111
Palín;07213
Panické Dravce;98532
Papradno;01813
Papín;06733
Parchovany;07662
Parihuzovce;06735
Partizánska Ľupča;03215
Partizánske;05801
Partizánske;95618
Partizánske;95633
Partizánske;95701
Partizánske;95801
Partizánske;95803
Partizánske;95804
Partizánske;95806
Partizánske;95841
Pastovce;93574
Pastuchov;92063
Pata;92553
Pataš;92901
Patince;94639
Pavlice;91942
Pavlova Ves;03221
Pavlovce;09431
Pavlovce;98001
Pavlovce nad Uhom;07214
Pavlová;94359
Pavčina Lehota;03101
Pavľany;05371
Pača;04941
Paňa;95105
Paňovce;04471
Pašková;04932
Paština Závada;01341
Pažiť;95801
Pažiť;95803
Peder;04405
Pernek;90053
Perín-Chym;04474
Petkovce;09433
Petrikovce;07206
Petrova Lehota;91326
Petrova Ves;90844
Petrovany;08253
Petrovce;07262
Petrovce;09431
Petrovce;98035
Petrovce nad Laborcom;07101
Petrovice;01353
Petrovice;03215
Petrovo;04935
Petrová;08602
Pezinok;82101
Pezinok;83101
Pezinok;83107
Pezinok;84107
Pezinok;84110
Pezinok;85110
Pezinok;90091
Pezinok;90201
Pezinok;90203
Pečenice;93503
Pečeňady;92207
Pečeňany;95636
Pečovská Nová Ves;08256
Pichne;06901
Piešťany;92101
Pinciná;98401
Pinkovce;07254
Piskorovce;09405
Pitelová;96611
Plavecké Podhradie;90636
Plavecký Mikuláš;90635
Plavecký Peter;90635
Plavecký Štvrtok;90068
Plaveč;06544
Plavnica;06545
Plavé Vozokany;93541
Plavé Vozokany;93569
Plechotice;07501
Plevník-Drienové;01826
Pleš;98531
Plešivec;04911
Pliešovce;96263
Ploské;04444
Ploské;98265
Plášťovce;93582
Pobedim;91623
Pochabany;95638
Podbiel;02742
Podbranč;90605
Podbrezová;97664
Podbrezová;97681
Podbrezová;97698
Podhorany;05993
Podhorany;08212
Podhorany;95146
Podhorie;01318
Podhorie;96982
Podhoroď;07264
Podhradie;03852
Podhradie;95501
Podhradie;97242
Podhradík;08006
Podhájska;94148
Podkonice;97613
Podkriváň;98551
Podkylava;91616
Podlužany;93527
Podlužany;95652
Podolie;91622
Podolínec;06503
Podrečany;98554
Podskalie;01822
Podtureň;03301
Podvysoká;02353
Podvysoká;02357
Podzámčok;96261
Pohorelá;97669
Pohranice;95102
Pohronská Polhora;97656
Pohronský Bukovec;97662
Pohronský Ruskov;93562
Pokryváč;02601
Poliakovce;08611
Polianka;90701
Polichno;98513
Polina;98262
Poloma;08273
Polomka;97666
Poltár;98701
Poluvsie;97216
Pongrácovce;05305
Poniky;97633
Poprad;05801
Poprad;05951
Poprad;08501
Poproč;04424
Poproč;98267
Popudinské Močidľany;90861
Poriadie;90622
Porostov;07255
Poruba;97211
Poruba pod Vihorlatom;07232
Poráč;05323
Porúbka;01311
Porúbka;06741
Porúbka;07261
Porúbka;08612
Potok;03483
Potok;98267
Potoky;09101
Potvorice;91625
Potônske Lúky;93052
Potôčky;09101
Považany;91626
Považská Bystrica;01701
Považská Bystrica;01704
Považská Bystrica;01705
Považská Bystrica;01706
Považská Bystrica;01707
Považská Bystrica;95841
Povina;02333
Povoda;92901
Povrazník;97655
Pozba;94151
Pozdišovce;07201
Počarová;01815
Počúvadlo;96901
Poľanovce;05305
Poľany;07684
Poľný Kesov;95115
Poša;09421
Praha;98511
Prakovce;05562
Pravenec;97216
Pravica;99121
Pravotice;95635
Prašice;95622
Prašník;92211
Predajná;97663
Predajná;97675
Predmier;01351
Prenčov;96973
Preseľany;95612
Prestavlky;96601
Prečín;01815
Prešov;05801
Prešov;08001
Prešov;08005
Prešov;08006
Prešov;08212
Pribeník;07651
Pribeta;94135
Pribeta;94501
Pribeta;94655
Pribeta;94703
Pribiš;02741
Pribylina;03242
Priechod;97611
Priekopa;07261
Priepasné;90615
Prietrž;90611
Prietržka;90849
Prievaly;90634
Prievidza;97101
Prihradzany;04914
Prituľany;09408
Prochot;96604
Prosačov;09431
Prosiek;03223
Proč;08214
Pruské;01852
Prusy;95703
Pružina;01822
Práznovce;95501
Príbelce;99125
Príbovce;03842
Príkra;09005
Príslop;06766
Prša;98541
Pstriná;09005
Ptičie;06601
Ptičie;06741
Ptrukša;07677
Pucov;02601
Pukanec;93505
Pusté Pole;06541
Pusté Sady;92554
Pusté Úľany;92528
Pusté Čemerné;07222
Pušovce;08214
Párnica;02601
Píla;90089
Píla;96681
Píla;98553
Pôtor;99103
Púchov;02001
Pčoliné;06735
Rabča;02944
Rabčice;02945
Rad;07637
Radatice;08242
Radava;94147
Radimov;90847
Radnovce;98042
Radobica;97248
Radoma;09042
Radoľa;02336
Radošina;95605
Radošovce;90863
Radošovce;91930
Radvanovce;09431
Radvaň nad Dunajom;94638
Radvaň nad Laborcom;06701
Radzovce;98558
Radôstka;02304
Rafajovce;09405
Rajec;01501
Rajecká Lesná;01315
Rajecké Teplice;01313
Rajčany;95632
Rakovec nad Ondavou;07203
Rakovice;92208
Rakovnica;04931
Rakovo;03842
Raková;02201
Raková;02204
Raková;02351
Rakovčík;08901
Rakytník;98021
Rakúsy;05976
Rakša;03901
Rankovce;04445
Rapovce;98531
Raslavice;08641
Rastislavice;94110
Ratka;98601
Ratkovce;92042
Ratkovo;03854
Ratkovská Lehota;98265
Ratkovská Suchá;98267
Ratkovské Bystré;98266
Ratková;98265
Ratnovce;92231
Ratvaj;08266
Rašice;98262
Ražňany;08261
Reca;90301
Reca;92526
Regetovka;08633
Rejdová;04926
Remeniny;09431
Remetské Hámre;07241
Renčišov;08263
Repejov;06704
Repište;96603
Revúca;05001
Revúcka Lehota;04918
Reľov;05904
Rešica;04473
Rešov;08621
Richnava;05351
Richvald;08501
Riečka;97401
Riečka;97634
Riečka;98045
Rimavská Baňa;98053
Rimavská Seč;96212
Rimavská Seč;98042
Rimavská Sobota;97901
Rimavské Brezovo;98054
Rimavské Janovce;97901
Rimavské Janovce;98001
Rimavské Zalužany;98053
Rišňovce;95121
Rochovce;04936
Rohov;90604
Rohovce;93030
Rohožník;09407
Rohožník;90638
Rokycany;08241
Rokytov;08601
Rokytov pri Humennom;06713
Rokytovce;06801
Rosina;01322
Rovensko;90501
Rovinka;90041
Rovné;06732
Rovné;09016
Rovné;98267
Rovňany;98524
Rozhanovce;04442
Rozložná;04932
Roztoky;09011
Roškovce;06702
Roštár;04935
Rožkovany;08271
Rožňava;04801
Rožňavské Bystré;04931
Rudina;02331
Rudinka;02331
Rudinská;02331
Rudlov;09435
Rudnianska Lehota;97226
Rudno;03822
Rudno nad Hronom;96651
Rudná;04801
Rudník;04423
Rudník;90623
Rudňany;05323
Rumanová;95137
Rumince;98050
Runina;06765
Ruskov;04419
Ruskovce;07301
Ruskovce;95654
Ruská;07677
Ruská Bystrá;07264
Ruská Kajňa;09407
Ruská Nová Ves;08005
Ruská Poruba;09408
Ruská Volová;06772
Ruská Voľa;09431
Ruská Voľa nad Popradom;06542
Ruský Hrabovec;07264
Ruský Potok;06766
Ružindol;91961
Ružiná;98552
Ružomberok;03401
Ružomberok;03403
Ružomberok;03406
Rybany;95636
Rybky;90604
Rybník;93523
Rybník;98265
Rykynčice;96255
Rákoš;04416
Rákoš;04961
Ráztoka;97697
Ráztočno;97231
Ráztočno;97251
Rúbaň;94136
Sabinov;08301
Sady nad Torysou;04441
Salka;94361
Santovka;93587
Sap;93006
Sasinkovo;92065
Sazdice;93585
Sačurov;09413
Sebechleby;96266
Sebedražie;97205
Sebedín-Bečov;97401
Sedliacka Dubová;02755
Sedlice;08243
Sedliská;09409
Sedmerovec;01854
Sejkov;07251
Sekule;90880
Selce;96251
Selce;97611
Selce;98013
Selec;91336
Selice;92572
Semerovo;94132
Senec;90043
Senec;90301
Seniakovce;08203
Senica;90501
Senica;90631
Senné;07213
Senné;99101
Senohrad;96243
Sereď;92601
Seč;97226
Sečianky;99110
Sečovce;07801
Sečovská Polianka;09414
Seľany;99127
Seňa;04458
Sielnica;96231
Sihelné;02401
Sihelné;02946
Sihelné;02947
Sihla;97653
Sikenica;93701
Sikenička;94359
Siladice;92052
Silica;04952
Silická Brezová;04911
Silická Jablonica;04943
Sirk;04964
Sirník;07603
Skalica;90901
Skalité;02314
Skalka nad Váhom;91331
Skačany;95853
Skerešovo;98262
Sklabinský Podzámok;03803
Sklabiná;99105
Sklabiňa;03803
Sklené;03847
Sklené Teplice;96603
Skrabské;09433
Skároš;04411
Skýcov;95185
Slanec;04417
Slanská Huta;04417
Slanské Nové Mesto;04418
Slančík;04417
Slaská;96622
Slatina;93584
Slatina nad Bebravou;95653
Slatinka nad Bebravou;95653
Slatinské Lazy;96225
Slatvina;05361
Slavec;04911
Slavkovce;07217
Slavnica;01854
Slavoška;04934
Slavošovce;04936
Slepčany;95152
Sliač;96231
Sliač;96237
Sliepkovce;07237
Slivník;07612
Slizké;98023
Slopná;01821
Slovany;03843
Slovenská Kajňa;09402
Slovenská Nová Ves;91942
Slovenská Ves;05902
Slovenská Volová;06722
Slovenská Ľupča;97613
Slovenské Krivé;06713
Slovenské Kľačany;99102
Slovenské Nové Mesto;07633
Slovenské Pravno;03822
Slovenské Ďarmoty;99107
Slovenský Grob;90026
Slovinky;05340
Sládkovičovo;92521
Smilno;08633
Smižany;05311
Smolenice;91904
Smolinské;90842
Smolnícka Huta;05565
Smolník;05566
Smrdáky;90603
Smrečany;03205
Snakov;08606
Snežnica;02332
Snina;06901
Soblahov;91338
Sobotište;90605
Soboš;09042
Sobrance;07301
Socovce;03843
Sokolce;94617
Sokolovce;92231
Sokoľ;04431
Sokoľany;04457
Sološnica;90637
Solčany;95617
Solčianky;95638
Somotor;07635
Sopkovce;06722
Soľ;09435
Soľnička;07653
Soľník;09031
Spišská Belá;05901
Spišská Nová Ves;05201
Spišská Nová Ves;05205
Spišská Nová Ves;05331
Spišská Stará Ves;06101
Spišská Teplica;05934
Spišské Bystré;05918
Spišské Hanušovce;05904
Spišské Podhradie;05304
Spišské Tomášovce;05201
Spišské Vlachy;05361
Spišský Hrhov;05302
Spišský Hrušov;05363
Spišský Štiavnik;05914
Spišský Štvrtok;05314
Stakčín;06761
Stakčínska Roztoka;06761
Stankovany;03492
Stankovce;07661
Stanča;07616
Starina;06546
Stará Bašta;98034
Stará Bystrica;02304
Stará Halič;98511
Stará Huta;96225
Stará Kremnička;96501
Stará Lehota;91635
Stará Lesná;05952
Stará Myjava;90701
Stará Turá;91601
Stará Voda;05334
Stará Ľubovňa;06401
Staré;07223
Staré Hory;97602
Starý Hrádok;93556
Starý Tekov;93526
Staškov;02352
Staškov;02353
Staškovce;09023
Stebnícka Huta;08633
Stebník;08633
Stožok;96212
Stožok;96225
Stratená;04971
Streda nad Bodrogom;07631
Stredné Plachtince;99124
Strekov;94137
Strelníky;97655
Stretava;07213
Stretavka;07213
Strečno;01324
Strečno;01325
Streženice;02001
Strihovce;06773
Stropkov;08001
Stropkov;09101
Stročín;08901
Stráne pod Tatrami;05976
Stránska;98251
Stránske;01313
Stráňany;06533
Stráňavy;01325
Stráža;01304
Strážne;07652
Strážske;07222
Studenec;05304
Studená;98034
Studienka;90875
Stupava;90031
Stupné;01812
Stuľany;08643
Suchohrad;90064
Suchá Dolina;08243
Suchá Hora;02713
Suchá nad Parnou;91901
Sucháň;99135
Suché;07101
Suché Brezovo;99103
Sudince;96271
Sukov;06702
Sulín;06546
Sučany;03852
Sušany;98012
Svederník;01332
Sverepec;01701
Sveržov;08602
Svetlice;06716
Svidnička;09002
Svidník;08901
Svinia;08232
Svinica;04445
Svinice;07637
Svinná;91324
Svit;05921
Svodín;94354
Svrbice;95606
Svrčinovec;02312
Svätoplukovo;95116
Svätuš;07255
Svätuše;07683
Svätá Mária;07635
Svätý Anton;96972
Svätý Jur;90021
Svätý Kríž;03211
Svätý Peter;94657
Sádočné;01816
Sása;96262
Sása;98265
Súdovce;96271
Súlovce;95614
Sútor;98001
Súľov-Hradná;01352
Sľažany;95171
Tachty;98034
Tajná;95201
Tajov;97634
Tarnov;08601
Tatranská Javorina;05956
Tašuľa;07252
Tehla;93535
Tekolďany;92062
Tekovská Breznica;96652
Tekovské Lužany;93541
Tekovské Nemce;96654
Tekovské Nemce;96801
Tekovský Hrádok;93551
Telgárt;97673
Telince;95161
Temeš;97229
Teplička;05201
Teplička nad Váhom;01301
Tepličky;92066
Teplý Vrch;98023
Terany;96268
Terchová;01306
Teriakovce;08005
Terňa;08267
Tesáre;95621
Tesárske Mlyňany;95176
Tešedíkovo;92582
Tibava;07301
Tichý Potok;08274
Timoradza;95652
Tisinec;09101
Tisovec;98061
Tlmače;93521
Tokajík;09034
Tomášikovo;92504
Tomášov;90044
Tomášovce;98021
Tomášovce;98556
Toporec;05995
Topoľa;06765
Topoľnica;92592
Topoľníky;93011
Topoľovka;06745
Topoľčany;95501
Topoľčany;95503
Topoľčianky;95193
Tornaľa;98201
Torysa;08276
Torysky;05371
Tovarnianska Polianka;09401
Tovarné;09401
Tovarníky;95501
Točnica;98522
Trakovice;91933
Trebatice;92210
Trebejov;04481
Trebeľovce;98531
Trebichava;95653
Trebišov;07501
Trebostovo;03841
Trebušovce;99127
Trenč;98532
Trenčianska Teplá;91401
Trenčianska Turná;91321
Trenčianske Bohuslavice;91307
Trenčianske Jastrabie;91322
Trenčianske Mitice;91322
Trenčianske Stankovce;91311
Trenčianske Teplice;91451
Trenčín;01701
Trenčín;01705
Trenčín;01707
Trenčín;91101
Trenčín;91105
Trenčín;91106
Trenčín;91108
Trenčín;91321
Trenčín;91338
Trenčín;95801
Trenčín;95806
Trenčín;97228
Trhovište;07204
Trhová Hradská;93013
Trnava;91701
Trnava;91702
Trnava;91705
Trnava;91708
Trnava;91934
Trnava;91961
Trnava;92509
Trnava pri Laborci;07231
Trnavá Hora;96611
Trnkov;08212
Trnovec;90851
Trnovec nad Váhom;92571
Trnovo;03841
Trnávka;07801
Trnávka;93032
Tročany;08641
Trpín;96244
Trstená;02801
Trstená na Ostrove;93004
Trstené;03221
Trstené pri Hornáde;04411
Trstice;92542
Trstín;91905
Trsťany;04445
Trávnica;94146
Trávnik;94619
Tuchyňa;01855
Tuhrina;08207
Tuhár;98512
Tulčík;08213
Tupá;93584
Turany;03853
Turany nad Ondavou;09033
Turcovce;06723
Turecká;97602
Tureň;90301
Turie;01312
Turnianska Nová Ves;04402
Turová;96234
Turzovka;02354
Turá;93551
Turík;03483
Turček;03848
Turčianky;95844
Turčianska Štiavnička;03851
Turčianske Jaseno;03802
Turčianske Kľačany;03861
Turčianske Teplice;03901
Turčiansky Peter;03841
Turčiansky Ďur;03843
Turčok;04918
Turňa nad Bodvou;04402
Tušice;07202
Tušická Nová Ves;07202
Tužina;97214
Tvarožná;05971
Tvrdomestice;95622
Tvrdošovce;94110
Tvrdošín;02744
Tôň;94615
Tŕnie;96234
Ubľa;06773
Udavské;06731
Udiča;01801
Uhliská;93505
Uhorská Ves;03203
Uhorské;98525
Uhrovec;95641
Uhrovec;95701
Uhrovské Podhradie;95641
Ulič;06767
Uličské Krivé;06767
Uloža;05371
Unín;90846
Urmince;95602
Utekáč;98506
Uzovce;08266
Uzovská Panica;98022
Uzovské Pekľany;08263
Uzovský Šalgov;08261
Uňatín;96241
Vagrinec;09003
Vajkovce;04443
Valaliky;04413
Valaská;97646
Valaská;97681
Valaská;97698
Valaská;97701
Valaská Belá;97228
Valaská Dubová;03496
Valaškovce;06783
Valentovce;06701
Valice;98252
Valkovce;09042
Valča;03835
Vaniškovce;08641
Varadka;08636
Varechovce;09023
Varhaňovce;08205
Varín;01303
Vasiľov;02951
Vavrečka;02901
Vavrinec;09431
